Модель - Mercedes-Benz GLC 220 COUPE 2018,Ціна - 1 352 280 грн,Пробіг - 98 тис. км
Модель - BMW 550 M 2018,Ціна - 1 976 850 грн,Пробіг - 34 тис. км
Модель - Land Rover Range Rover 2010,Ціна - 618 840 грн,Пробіг - 229 тис. км
Модель - BMW X5 2018,Ціна - 1 316 468 грн,Пробіг - 82 тис. км
Модель - Honda CR-V EXECUTIVE 2011,Ціна - 587 325 грн,Пробіг - 41 тис. км
Модель - BMW X5 2011,Ціна - 495 645 грн,Пробіг - 196 тис. км
Модель - Audi Q7 S line Matrix Black 2017,Ціна - 1 885 170 грн,Пробіг - 79 тис. км
Модель - BMW X5 2019,Ціна - 2 034 121 грн,Пробіг - 35 тис. км
Модель - Volkswagen Touareg 2015,Ціна - 1 125 945 грн,Пробіг - 98 тис. км
Модель - {markName} {modelName} {version} {years},Ціна - ,Пробіг - {raceText}
